time,temp31,temp180,humi,pressure,altitude,smoke,fire_alarm,,
23:15.0,23.26428626,23.19533038,72.36133364,1016.518366,-27.18,1.56,FALSE,,
23:15.2,23.2776379,23.20330474,72.36591135,1016.579559,-27.68,0,FALSE,,
23:15.3,23.29098955,23.18735565,72.38574807,1016.47963,-26.85,0.77,FALSE,,
23:15.5,23.30701152,23.17938055,72.37201495,1016.470837,-26.78,0.09,FALSE,,
23:15.6,23.29098955,23.19533038,72.38574807,1016.518366,-27.18,0.41,FALSE,,
23:15.8,23.29098955,23.17938055,72.37659266,1016.50078,-27.03,1.54,FALSE,,
23:15.9,23.2776379,23.17938055,72.38117037,1016.440895,-26.53,1.79,FALSE,,
23:16.1,23.29098955,23.18735565,72.38574807,1016.524545,-27.23,1.24,FALSE,,
23:16.2,23.29098955,23.19533038,72.38574807,1016.533338,-27.3,1.47,FALSE,,
23:16.4,23.29098955,23.17938055,72.39490349,1016.459609,-26.69,0.2,FALSE,,
23:16.6,23.29098955,23.19533038,72.39490349,1016.570767,-27.61,0,FALSE,,
23:16.7,23.32036316,23.18735565,72.42236973,1016.498345,-27.01,0.17,FALSE,,
23:16.9,23.26428626,23.17938055,72.39032578,1016.497037,-27,0.32,FALSE,,
23:17.0,23.29098955,23.18735565,72.36743725,1016.505831,-27.07,1.62,FALSE,,
23:17.2,23.30701152,23.18735565,72.36133364,1016.494602,-26.98,0.88,FALSE,,
23:17.3,23.29098955,23.19533038,72.35675593,1016.544567,-27.39,1.65,FALSE,,
23:17.5,23.32036316,23.18735565,72.402533,1016.505831,-27.07,1.26,FALSE,,
23:17.6,23.2776379,23.18735565,72.36591135,1016.539517,-27.35,0.17,FALSE,,
23:17.8,23.2776379,23.19533038,72.41321431,1016.514623,-27.14,0,FALSE,,
23:17.9,23.29098955,23.17938055,72.4040589,1016.52698,-27.25,0.17,FALSE,,
23:18.1,23.30701152,23.17938055,72.38117037,1016.50078,-27.03,1.03,FALSE,,
23:18.2,23.29098955,23.19533038,72.37659266,1016.57451,-27.64,1.74,FALSE,,
23:18.4,23.30701152,23.17938055,72.37201495,1016.538208,-27.34,2.5,FALSE,,
23:18.5,23.30701152,23.18735565,72.39948119,1016.539517,-27.35,0.76,FALSE,,
23:18.7,23.30701152,23.18735565,72.38879988,1016.498345,-27.01,0.44,FALSE,,
23:18.8,23.29098955,23.17938055,72.39490349,1016.478323,-26.84,0,FALSE,,
23:19.0,23.29098955,23.17938055,72.37659266,1016.523237,-27.22,0,FALSE,,
23:19.1,23.26428626,23.17140508,72.39948119,1016.439586,-26.52,0.07,FALSE,,
23:19.3,23.26428626,23.17938055,72.31555657,1016.519494,-27.18,0.59,FALSE,,
23:19.4,23.29098955,23.17140508,72.35675593,1016.480756,-26.86,1.65,FALSE,,
23:19.6,23.2776379,23.17140508,72.402533,1016.533155,-27.3,1.76,FALSE,,
23:19.7,23.29098955,23.17938055,72.37659266,1016.564408,-27.56,0.82,FALSE,,
23:19.9,23.30701152,23.17938055,72.38117037,1016.545694,-27.4,1.3,FALSE,,
23:20.1,23.30701152,23.16342924,72.37201495,1016.494416,-26.98,0.07,FALSE,,
23:20.2,23.29098955,23.16342924,72.36743725,1016.516872,-27.16,0,FALSE,,
23:20.4,23.2776379,23.16342924,72.37506676,1016.505644,-27.07,0.17,FALSE,,
23:20.5,23.2776379,23.17938055,72.36591135,1016.564408,-27.56,1.1,FALSE,,
23:20.7,23.2776379,23.17938055,72.35370413,1016.568151,-27.59,0.44,FALSE,,
23:20.8,23.2776379,23.17140508,72.36591135,1016.473271,-26.8,0.86,FALSE,,
23:21.0,23.26428626,23.17938055,72.34302281,1016.52698,-27.25,1.62,FALSE,,
23:21.1,23.2776379,23.17140508,72.37506676,1016.491985,-26.96,0.82,FALSE,,
23:21.3,23.26428626,23.17140508,72.35217823,1016.506956,-27.08,0,FALSE,,
23:21.4,23.29098955,23.17140508,72.35675593,1016.540641,-27.36,0,FALSE,,
23:21.6,23.2776379,23.17938055,72.34454871,1016.534465,-27.31,0.14,FALSE,,
23:21.7,23.26428626,23.15545304,72.36133364,1016.470647,-26.78,0.61,FALSE,,
23:21.9,23.25093462,23.16342924,72.33997101,1016.483188,-26.88,0.77,FALSE,,
23:22.0,23.25093462,23.17938055,72.32013428,1016.568151,-27.59,1.73,FALSE,,
23:22.2,23.2776379,23.17140508,72.35370413,1016.514441,-27.14,1.62,FALSE,,
23:22.3,23.26428626,23.16342924,72.3338674,1016.520615,-27.19,0.96,FALSE,,
23:22.5,23.2776379,23.17938055,72.34454871,1016.564408,-27.56,0,FALSE,,
23:22.6,23.25093462,23.16342924,72.32013428,1016.479445,-26.85,0,FALSE,,
23:22.8,23.26428626,23.17140508,72.31555657,1016.563097,-27.55,0.05,FALSE,,
23:22.9,23.2776379,23.16342924,72.32623789,1016.539328,-27.35,0.41,FALSE,,
23:23.1,23.26428626,23.17140508,72.3338674,1016.548126,-27.42,1.47,FALSE,,
23:23.3,23.26428626,23.17938055,72.32166018,1016.530723,-27.28,1.79,FALSE,,
23:23.4,23.2776379,23.17140508,72.31708248,1016.551869,-27.45,1.65,FALSE,,
23:23.6,23.26428626,23.17938055,72.3338674,1016.534465,-27.31,0.55,FALSE,,
23:23.7,23.25093462,23.17140508,72.31097887,1016.506956,-27.08,0.03,FALSE,,
23:23.9,23.26428626,23.17140508,72.35217823,1016.514441,-27.14,0.77,FALSE,,
23:24.0,23.26428626,23.17140508,72.29419394,1016.514441,-27.14,0.09,FALSE,,
23:24.2,23.26428626,23.17140508,72.30334936,1016.559355,-27.52,0.48,FALSE,,
23:24.3,23.26428626,23.17140508,72.31555657,1016.559355,-27.52,1.54,FALSE,,
23:24.5,23.25093462,23.16342924,72.28351263,1016.524358,-27.22,1.76,FALSE,,
23:24.6,23.26428626,23.16342924,72.30334936,1016.524358,-27.22,1.66,FALSE,,
23:24.8,23.2776379,23.15545304,72.28961624,1016.515559,-27.15,1.51,FALSE,,
23:24.9,23.25093462,23.16342924,72.29266804,1016.494416,-26.98,0,FALSE,,
23:25.1,23.2776379,23.15545304,72.26062409,1016.504331,-27.06,0,FALSE,,
23:25.2,23.2776379,23.16342924,72.26977951,1016.543071,-27.38,0.17,FALSE,,
23:25.4,23.26428626,23.15545304,72.2667277,1016.478132,-26.84,0.55,FALSE,,
23:25.5,23.26428626,23.16342924,72.24689097,1016.546814,-27.41,1.65,FALSE,,
23:25.7,23.26428626,23.16342924,72.24689097,1016.520615,-27.19,1.71,FALSE,,
23:25.8,23.25093462,23.15545304,72.22552834,1016.485617,-26.9,1.15,FALSE,,
23:26.0,23.25093462,23.17140508,72.24383917,1016.540641,-27.36,0.11,FALSE,,
23:26.1,23.23491264,23.16342924,72.24231327,1016.531843,-27.29,0,FALSE,,
23:26.3,23.25093462,23.15545304,72.21637293,1016.541757,-27.37,0.11,FALSE,,
23:26.5,23.26428626,23.15545304,72.23926146,1016.541757,-27.37,0.41,FALSE,,
23:26.6,23.25093462,23.15545304,72.22552834,1016.485617,-26.9,1.51,FALSE,,
23:26.8,23.25093462,23.15545304,72.21637293,1016.519301,-27.18,2.58,FALSE,,
23:26.9,23.25093462,23.15545304,72.21637293,1016.538014,-27.34,1.68,FALSE,,
23:27.1,23.26428626,23.15545304,72.21026932,1016.500588,-27.03,1.54,FALSE,,
